Artiste,Titre,Genre,Duree,Voix
Triviul,Angelsaint,Alternative,236,Homme
Triviul,Dorothy,Alternative,187,Homme
Voelund,Comfort Lives In Belief,Rock,210,Homme
Wall Of Death,Femme,Heavy metal,239,Homme
Young Griffo,Blood To Bone,Rock,254,Homme
Young Griffo,Facade,Rock,168,Homme
Young Griffo,Pennies,Rock,277,Homme
AM Contra,Heart Peripheral,Alternative,210,Femme
Al James,Schoolboy Facination,Rock,200,Homme
Angels In Amplifiers,I'm Alright,Rock,179,Homme
Arise,Run Run Run,Reggae,219,Homme
BKS,Bulldozer,Rock,337,Homme
BKS,Too Much,Rock,220,Homme
Ben Carrigan,We'll Talk About It All Tonight,Alternative,254,Homme
Bobby Nobody,Stitch Up,Rock,221,Homme
Buitraker,Revo X,Rock,275,Homme
Carlos Gonzalez,A Place For Us,Rock,250,Homme
Cristina Vane,So Easy,Pop,254,Femme
Detsky Sad,Walkie Talkie,Alternative,190,Femme
Enda Reilly,Cur An Long Ag Seol,Country,186,Homme
Forkupines,Semantics,Rock,273,Homme
Georgia Wonder,Siren,Alternative,450,Femme
Girls Under Glass,We Feel Alright,Alternative,317,Homme
Hollow Ground,Ill Fate,Heavy metal,141,Homme
James Elder & Mark M Thompson,The English Actor,Alternative,205,Homme
Juliet's Rescue,Heartbeats,Pop,267,Femme
Little Chicago's Finest,My Own,Hip-hop,281,Homme
Louis Cressy Band,Good Time,Rock,292,Homme
Lyndsey Ollard,Catching Up,Alternative,227,Femme
M.E.R.C. Music,Knockout,Hip-hop,270,Homme
Moosmusic,Big Dummy Shake,Rock,198,Homme
Motor Tapes,Shore,Rock,246,Homme
Mu,Too Bright,Rock,272,Homme
Nerve 9,Pray For The Rain,Alternative,343,Femme
PR,Happy Daze,Electro,162,Homme
PR,Oh No,Electro,76,Mixte
Punkdisco,Oral Hygiene,Alternative,221,Femme
Raft Monk,Tiring,Alternative,212,Homme
Sambasevam Shanmugam,Kaathaadi,Alternative,317,Femme
Secretariat,Borderline,Country,286,Homme
Secretariat,Over The Top,Rock,251,Homme
Side Effects Project,Sing With Me,Hip-hop,243,Homme
Signe Jakobsen,What Have You Done To Me,Rock,177,Femme
Skelpolu,Resurrection,Alternative,395,Mixte
Speak Softly,Broken Man,Alternative,253,Femme
Speak Softly,Like Horses,Alternative,312,Femme
The Doppler Shift,Atrophy,Rock,331,Homme
The Easton Ellises (Baumi),SDRNR,Alternative,234,Homme
The Easton Ellises,Falcon 69,Alternative,246,Homme
The Long Wait,Dark Horses,Rock,305,Femme
The Mountaineering Club,Mallory,Alternative,244,Homme
The Sunshine Garcia Band,For I Am The Moon,Alternative,320,Mixte
Timboz,Pony,Heavy metal,253,Homme
Tom McKenzie,Directions,Pop,175,Homme
Triviul feat. The Fiend,Widow,Alternative,235,Femme
We Fell From The Sky,Not You,Rock,207,Homme
Zeno,Signs,Alternative,234,Homme
